username,password,email,age,address,role 
alyy,9641244932903276315,afdvs,12,svdfv,1
username,6072375419398818283,email,20,address,0
username1,13798053109670976502,email,20,address,0
mohsen1,2317454707498882948,sadad,12,heliopolis,0
ALY,12036008401870904245,asdfs,12,sdfsd,2
ALYY,8341279196112377053,adsd,23,sdf,2
ALII,4777718320101207908,sad,23,asdsd,2
ALM,6948640745673168226,asda,30,dsfsdf,0
omar,12921294496002996810,egfsd,21,dfsf,1
passenger,9818782707149844135,pass@123,23,helio,2
admin,8141937955048696534,admin@gmail.com,30,cairo,0
agent,6987040491701236771,agent@gmail.com,24,cairo,1
admin123,3288171798096025883,admin123@gmail.com,23,cairo,0
